BUSINESS NAME,STREET ADDRESS,CITY,ZIP CODE
VINCENZO LABELLA,521 SWARTHMORE AVENUE,PACIFIC PALISADES,90272-4350
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,2015 W TEMPLE STREET,LOS ANGELES,90026-4913
SPRINGBOARD NON-PROFIT CONSUMER CREDIT MANAGEMENT,1605 W OLYMPIC BLVD #9023,LOS ANGELES,90015-3828
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,3806 W PICO BLVD,LOS ANGELES,90019-4304
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,3115 VENICE BLVD,LOS ANGELES,90019-6238
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,2601 W PICO BLVD #2,LOS ANGELES,90006-3901
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,4151 BEVERLY BLVD,LOS ANGELES,90004-4461
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,3049 W 8TH STREET #763,LOS ANGELES,90005-1873
A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,1150 VENICE BLVD,LOS ANGELES,90015-3214
NEW CITY LIFE FOUNDATION /C,1201 W MANCHESTER AVENUE,LOS ANGELES,90044-2237
LOS ANGELES URBAN LEAGUE HEAD START STATE PRESCHOOL /C,10611 S HOOVER STREET,LOS ANGELES,90044-4443
THE KABBALAH CENTRE INTERNATIONAL INC,1220 S SHENANDOAH STREET,LOS ANGELES,90035-2238
JOYCE WILLING,10510 ODESSA AVENUE,GRANADA HILLS,91344-6721
THE SKID ROW HOUSING TRUST,114 E 5TH STREET,LOS ANGELES,90013-1416
THE PUBLIC HEALTH FOUNDATION OF LOS ANGELES COUNTY INC,1836 W IMPERIAL HIGHWAY,LOS ANGELES,90047-5020
ST ANTHONY MEDICAL CENTER,837 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4110
YIDDISHKAYT LOS ANGELES,3780 WILSHIRE BLVD #910,LOS ANGELES,90010-2840
S RICHARD FRIESEN,16600 HAMLIN STREET,LAKE BALBOA,91406-5615
SAN FERNANDO VALLEY COMMUNITY MENTAL HEALTH CENTER INC,11565 LAUREL CANYON BLVD #100 3,SAN FERNANDO,91340-4168
WET PAINT PRODUCTIONS LLC,5230 KESTER AVENUE #4,SHERMAN OAKS,91411-4019
JESSICA STRAUS,8117 CREIGHTON AVENUE,LOS ANGELES,90045-2709
CALIFORNIA CHILDREN'S ACADEMY,133 N SUNOL DRIVE,LOS ANGELES,90063-1429
CALIFORNIA CHILDREN'S ACADEMY,7817 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605-2523
ODILIA TRUJILLO,122 N MARIPOSA AVENUE #8,LOS ANGELES,90004-4538
DARIUSH DIVSALAR,1159   LAS PULGAS PLACE,PACIFIC PALISADES,90272-2440
ATLANTIC RECOVERY SERVICES,2503 W 7TH STREET,LOS ANGELES,90057-3801
ATLANTIC RECOVERY SERVICES,1444 W Q STREET,WILMINGTON,90744-1971
TANG FUNG CHO,378 E DEL MAR BLVD #9,PASADENA,91101-2781
NATIONAL HOUSING DEVELOPMENT CORPORATION,6400 WEST BLVD,LOS ANGELES,90043-3866
JULIE CONN,106 CENTRAL AVENUE,SALINAS,93901-2630
WORLD IMPACT /C,1969 S VERMONT AVENUE,LOS ANGELES,90007-1254
TARZANA TREATMENT CENTER INC,7101 BAIRD AVENUE,RESEDA,91335-4150
COMMUNITY DEVELOPEMENT INSTITUTE HEAD START,2630 E 7TH STREET,LOS ANGELES,90023-1409
JUN CHEN QUACH CHAN,232 E 4TH STREET,LOS ANGELES,90013-1404
ROBIN DOUGLASS SHARP,3393 BENNETT DRIVE,LOS ANGELES,90068-1703
DEBORAH SMITH,4151 ARCH DRIVE #308,STUDIO CITY,91604-3243
LAS PALMAS FOUNDATION,1535 N FORMOSA AVENUE,LOS ANGELES,90046-3601
SHALOM CENTER FOR T EE OF LIFE,2975 WILSHIRE BLVD #415,LOS ANGELES,90010-1112
NET US SOLUTION INC,3852 BERRYMAN AVENUE,LOS ANGELES,90066-4016
NATAN FABRIC INC,410 E 9TH STREET,LOS ANGELES,90015-1804
ROBERT HUGH REDDICK,3712 ALMERIA STREET,SAN PEDRO,90731-6412
RESOURCE MANAGEMENT STRATEGIES INC,1377 W 7TH STREET,SAN PEDRO,90732-3504
LOUIS C SIMPSON JR MD,3756 SANTA ROSALIA DRIVE #210,LOS ANGELES,90008-3616
WILLIAM ELKINS,5064 1/2 LANKERSHIM BLVD,N HOLLYWOOD,91601-4225
GOLDBERG & GAGE,23002 VICTORY BLVD,WOODLAND HILLS,91367-1635
SHERMAN WAY ASSOCIATES LLC,20451 SHERMAN WAY,CANOGA PARK,91306-3109
"ROYALE GRACE INVESTMENT COMPANY, LLC",8720   BURTON WAY,LOS ANGELES,90048-3810
MARUBINI AMERICA CORP,6075 POPLAR AVENUE #500,MEMPHIS,38119-
MARGARET R BEALL,4301 AVOCADO STREET,LOS ANGELES,90027-2121
HIGHWAY TO SUCCESS FOUNDATION INC,520 S BURNSIDE AVENUE #9K,LOS ANGELES,90036-3997
PHUONG V TRAN,21107 1/2 SHERMAN WAY,CANOGA PARK,91303-1679
HERRMANN EQUIPMENT INC,2711 S LILAC AVENUE,BLOOMINGTON,92316-3213
HITOSH ONO/KINUKO ONO,8103 1/2 BEVERLY BLVD,LOS ANGELES,90048-4507
INDUSTRIAL PARTS DEPOT LLC,23231 NORMANDIE AVENUE,TORRANCE,90501-5050
RUMON CORP,5942 WASHINGTON BLVD,CULVER CITY,90232-7325
ALEXANDRE ROSALES,7925 CORA STREET,SUNLAND,91040-3307
SHELLEY R KRAMER,6841 DUME DRIVE,MALIBU,90265-4224
MULTIPLE PLANT SERVICES INC,795 E DEBRA LANE,ANAHEIM,92805-6334
LANSDOWN FILMS INC,15260 VENTURA BLVD #1040,SHERMAN OAKS,91403-5345
FRIENDS OF JAPAN /C,1469 S NORTON AVENUE,LOS ANGELES,90019-4334
CITY OF LOS ANGELS HOSPICE FOUNDATION,1085 MANZANITA STREET,LOS ANGELES,90029-3011
COMPREHENSIVE CHILD DEVELOPMENT/C,1435 W 7TH STREET,SAN PEDRO,90732-3506
"HUGH E/LINDA B JORDAN,FAMILY TRUST",1251 W REDONDO BEACH BLVD #1,GARDENA,90247-3412
WALTER DE PAZ,831   E 61ST STREET #A,LOS ANGELES,90001-1033
JOSE LADISLAO HERNANDEZ,1152 VENICE BLVD,LOS ANGELES,90015-3214
SAMARITAN IMAGING CENTER,1245 WILSHIRE BLVD #2NDFL,LOS ANGELES,90017-4810
"EMG, ETERNITY MARKETING GROUP INC",1520 W 45TH STREET,LOS ANGELES,90062-2001
PACIFIC ALLOY CASTINGS CO INC,5900 FIRESTONE BLVD,SOUTH GATE,90280-3708
HENRY TRAN,1512 S SANTA ANITA AVENUE,ARCADIA,91006-4015
PHILIP L ABEL,2050 S BUNDY DRIVE #268,LOS ANGELES,90025-6128
MARIA G NUNEZ / JOSE CRUZ,305 N SOTO STREET,LOS ANGELES,90033-1862
U S DEER ANTLERS IMPORT & EXPORT INC,1206 S WESTERN AVENUE,LOS ANGELES,90006-3108
SENTAYEHU G SILASSIE,5208 W PICO BLVD SUITE #8,LOS ANGELES,90019-4054
FIELD FAMILY TRUST,19780 PACIFIC GATEWAY DRIVE,TORRANCE,90502-1131
JEFFREY HAMILTON COLE,710 W 39TH STREET,SAN PEDRO,90731-6941
ANDREA SORICH/KATICA SORICH,2224 S PATTON AVENUE,SAN PEDRO,90732-4454
RICHARD VALENZUELA,425 KINGSFORD STREET,MONTEREY PARK,91754-2608
ALEN AKOPIANS,20224 SHERMAN WAY #25,WINNETKA,91306-3225
KEDREN COMMUNITY HEALTH CENTER INC,9622 BEACH STREET,LOS ANGELES,90002-2433
CANDICE SHERBIN MFT INC,15720 VENTURA BLVD #512,ENCINO,91436-4720
AL MASCI POOL SERVICE INC,6930 VANALDEN AVENUE,RESEDA,91335-3931
SPECTRUM OAK PRODUCTS INC,1038 N LEMON STREET,ORANGE,92867-5607
EFRAIN BANUELOS,4194 W 120TH STREET,HAWTHORNE,90250-3148
MAYURKUMAR/PRITTY/BALUBHAI G/SARDABEN B PATEL,721 GARLAND AVENUE,LOS ANGELES,90017-4411
ELIZABETH TAGG,4818 CLEON AVENUE,N HOLLYWOOD,91601-4645
DAVID KRON,130 S GARDNER STREET,LOS ANGELES,90036-2718
IN! COMMUNICATIONS INCORPORATED,1419 N POINSETTIA PLACE #304,LOS ANGELES,90046-7801
RIGOBERTO DURAN,14549 RYAN STREET,SYLMAR,91342-2818
VOLUNTEERS OF AMERICA OF LOS ANGELES,6656 KLUMP AVENUE,N HOLLYWOOD,91606-1963
INDUSTRIAL CLUTCH & BRAKE INC,1425 SANTA FE AVENUE,LONG BEACH,90813-1236
CORPORATION FOR BETTER HOUSING,15303 VENTURA BLVD SUITE #1100,SHERMAN OAKS,91403-6621
SAN FERNANDO VALLEY YACHT CLUB,11330 JELLICO AVENUE,GRANADA HILLS,91344-3303
LOS ANGELES BUSINESS ADVISORS,333 S HOPE STREET #2660,LOS ANGELES,90071-3035
DEL RIO FOUNDATION,1154 S WILTON PLACE,LOS ANGELES,90019-3540
SKATEPARK ASSOCIATION OF THE UNITED STATES OF AMERICA /C,13015 W WASHINGTON BLVD,LOS ANGELES,90066-5123
CATHOLIC HEALTHCARE WEST,4972 W PICO BLVD SUITE #201,LOS ANGELES,90019-4200
MARIA T SANCHEZ,4735 BEVERLY BLVD,LOS ANGELES,90004-3144
VOLUNTEERS OF AMERICA OF LOS ANGELES,6710 TUJUNGA AVENUE,N HOLLYWOOD,91606-1934
VOLUNTEERS OF AMERICA OF LOS ANGELES,6662 TUJUNGA AVENUE,N HOLLYWOOD,91606-1854
VOLUNTEERS OF AMERICA OF LOS ANGELES,6640 TUJUNGA AVENUE,N HOLLYWOOD,91606-1806
VOLUNTEERS OF AMERICA OF LOS ANGELES,6632 TUJUNGA AVENUE,N HOLLYWOOD,91606-1835
VOLUNTEERS OF AMERICA OF LOS ANGELES,6643 BAKMAN AVENUE,N HOLLYWOOD,91606-1801
VOLUNTEERS OF AMERICA OF LOS ANGELES,6647 BAKMAN AVENUE,N HOLLYWOOD,91606-1827
VOLUNTEERS OF AMERICA OF LOS ANGELES,6607 BAKMAN AVENUE,N HOLLYWOOD,91606-1833
VOLUNTEERS OF AMERICA OF LOS ANGELES,6650 BAKMAN AVENUE,N HOLLYWOOD,91606-1863
HILLYARD INC,6205 RANDOLPH STREET #A,COMMERCE,90040-3514
VOLUNTEERS OF AMERICA OF LOS ANGELES,6655 ELMER AVENUE,N HOLLYWOOD,91606-1809
FILIBERTO DIAZ,2728 S HOBART BLVD,LOS ANGELES,90018-3533
VOLUNTEERS OF AMERICA OF LOS ANGELES,6637 ELMER AVENUE,N HOLLYWOOD,91606-1803
VOLUNTEERS OF AMERICA OF LOS ANGELES,6724 ELMER AVENUE,N HOLLYWOOD,91606-1940
VOLUNTEERS OF AMERICA OF LOS ANGELES,6650 ELMER AVENUE,N HOLLYWOOD,91606-1845
VOLUNTEERS OF AMERICA OF LOS ANGELES,6634 ELMER AVENUE,N HOLLYWOOD,91606-1841
